t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
5.6,1,2.556580956e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.1966365
5.7,1,2.188527533e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.2903906
5.8,1,2.478581057e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.3766752
5.9,1,2.091891549e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.4560853
6,1,1.873288787e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.5291686
6.1,1,3.07590738e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.5964289
6.2,1,3.0628894e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.6583301
6.3,1,2.188612732e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.7152991
6.4,1,1.261333236e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.7677289
6.5,1,2.784218277e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.8159809
6.6,1,4.304810211e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.8603881
6.7,1,2.044540857e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.9012567
6.8,1,2.992402524e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.9388687
6.9,1,3.439946196e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.9734835
7,1,2.723186386e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.0053399
7.1,1,4.18724158e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.0346577
7.2,1,2.271761719e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.0616391
7.3,1,3.013017927e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.0864703
7.4,1,1.537531147e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.1093226
7.5,1,2.415843467e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.1303537
7.6,1,2.630318113e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.1497087
7.7,1,2.125011474e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.1675212
7.8,1,2.530368529e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.183914
7.9,1,2.893878616e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.1990004
8,1,4.128659824e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2128843
8.1,1,2.265167471e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2256617
8.2,1,3.362650648e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2374207
8.3,1,2.422253794e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2482425
8.4,1,3.809522172e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2582017
8.5,1,2.109389293e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2673671
8.6,1,2.676811325e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2758019
8.7,1,2.563619334e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2835644
8.8,1,2.378901287e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2907082
8.9,1,2.462468274e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.2972826
9,1,2.959157235e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3033329
9.1,1,2.321818636e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3089009
9.2,1,2.516600144e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3140251
9.3,1,1.888938419e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3187408
9.4,1,2.561313333e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3230806
9.5,1,2.681489332e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3270745
9.6,1,3.292321908e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.33075
9.7,1,2.715983858e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3341325
9.8,1,4.434111288e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3372453
9.9,1,2.825156696e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.34011
10,1,2.198689641e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,362.3427463
10.1,1,4.970597379e-16,0.000000,26723.444885,0.000000,-26714.265360,-0.184161,357.5794092
10.2,1,1.194162924e-16,0.000000,5413.245542,0.000000,-5410.930275,-0.037299,352.7212294
10.3,1,1.279845727e-17,0.000000,1097.896065,0.000000,-1097.416323,-0.007565,348.1010527
10.4,1,5.472728666e-18,0.000000,222.703706,0.000000,-222.606145,-0.001534,343.7771065
10.5,1,5.628351089e-19,0.000000,45.175347,0.000000,-45.155550,-0.000311,339.762956
10.6,1,1.606306461e-19,0.000000,9.163820,0.000000,-9.159804,-0.000063,336.0522989
10.7,1,2.492225702e-20,0.000000,1.858882,0.000000,-1.858067,-0.000013,332.6297532
10.8,1,7.011048362e-21,0.000000,0.377074,0.000000,-0.376909,-0.000003,329.4764737
10.9,1,8.278076757e-22,0.000000,0.076490,0.000000,-0.076456,-0.000001,326.5728868
11,1,2.787615498e-22,0.000000,0.015516,0.000000,-0.015509,-0.000000,323.8999386
11.1,1,8.173774602e-23,0.000000,0.003147,0.000000,-0.003146,-0.000000,321.4396174
11.2,1,9.041725945e-24,0.000000,0.000638,0.000000,-0.000638,-0.000000,319.1751331
11.3,1,1.794200297e-24,0.000000,0.000130,0.000000,-0.000129,-0.000000,317.0909415
11.4,1,2.862054712e-25,0.000000,0.000026,0.000000,-0.000026,-0.000000,315.1726987
11.5,1,6.982005634e-26,0.000000,0.000005,0.000000,-0.000005,-0.000000,313.4071898
11.6,1,1.491741421e-26,0.000000,0.000001,0.000000,-0.000001,-0.000000,311.782249
11.7,1,3.490827436e-27,0.000000,0.000000,0.000000,-0.000000,-0.000000,310.2866793
11.8,1,6.843749562e-28,0.000000,0.000000,0.000000,-0.000000,-0.000000,308.9101771
11.9,1,2.432556712e-28,0.000000,0.000000,0.000000,-0.000000,-0.000000,307.6432606
12,1,2.697636459e-29,0.000000,0.000000,0.000000,-0.000000,-0.000000,306.4772043
