0 0  0 0 0  0 0 0  
1 0.005  0 0 0  0 0.003617150958308598 0  
2 0.01  0 0 0  0 0.01365431253359527 0  
3 0.015  0 0 0  0 0.02889885859013311 0  
4 0.02  0 0 0  0 0.04853478303643999 0  
5 0.025  0 0 0  0 0.07184796847675151 0  
6 0.03  0 0 0  0 0.09825504780996459 0  
7 0.035  0 0 0  0 0.1272553857211356 0  
8 0.04  0 0 0  0 0.1584343815296674 0  
9 0.045  0 0 0  0 0.1914398908388515 0  
10 0.05  0 0 0  0 0.2259791677531499 0  
11 0.05499999999999999  0 0 0  0 0.2618044217146819 0  
12 0.05999999999999999  0 0 0  0 0.2987093625318566 0  
13 0.06499999999999999  0 0 0  0 0.3365195983356382 0  
14 0.06999999999999999  0 0 0  0 0.3750898628708441 0  
15 0.075  0 0 0  0 0.4142974030465397 0  
16 0.08  0 0 0  0 0.4540399557279832 0  
17 0.08500000000000001  0 0 0  0 0.4942311041413858 0  
18 0.09000000000000001  0 0 0  0 0.5347988711822889 0  
19 0.09500000000000001  0 0 0  0 0.5756824124510239 0  
20 0.1  0 0 0  0 0.6168310748753354 0  
21 0.105  0 0 0  0 0.6545848623676621 0  
22 0.11  0 0 0  0 0.6861052739178226 0  
23 0.115  0 0 0  0 0.7125747607327941 0  
24 0.12  0 0 0  0 0.7347842543833207 0  
25 0.125  0 0 0  0 0.7534266170608325 0  
26 0.13  0 0 0  0 0.7690675787136539 0  
27 0.135  0 0 0  0 0.7821927994117487 0  
28 0.14  0 0 0  0 0.7932044769444145 0  
29 0.145  0 0 0  0 0.8024442022803856 0  
30 0.15  0 0 0  0 0.8101960018416404 0  
31 0.1550000000000001  0 0 0  0 0.8167002265316367 0  
32 0.1600000000000001  0 0 0  0 0.8221570388645097 0  
33 0.1650000000000001  0 0 0  0 0.8267355839710461 0  
34 0.1700000000000001  0 0 0  0 0.8305768238923457 0  
35 0.1750000000000001  0 0 0  0 0.8337998095774716 0  
36 0.1800000000000001  0 0 0  0 0.8365037826572983 0  
37 0.1850000000000001  0 0 0  0 0.8387725458878568 0  
38 0.1900000000000001  0 0 0  0 0.8406759570235525 0  
39 0.1950000000000001  0 0 0  0 0.8422730131519917 0  
40 0.2000000000000001  0 0 0  0 0.8436128823524723 0  
41 0.2050000000000001  0 0 0  0 0.8447371028069174 0  
42 0.2100000000000001  0 0 0  0 0.8456802768001078 0  
43 0.2150000000000001  0 0 0  0 0.8464716532746502 0  
44 0.2200000000000001  0 0 0  0 0.8471355810387576 0  
45 0.2250000000000001  0 0 0  0 0.8476926579966241 0  
46 0.2300000000000001  0 0 0  0 0.8481600156828533 0  
47 0.2350000000000001  0 0 0  0 0.8485521616364758 0  
48 0.2400000000000001  0 0 0  0 0.8488811476304158 0  
49 0.2450000000000001  0 0 0  0 0.849157193255217 0  
50 0.2500000000000001  0 0 0  0 0.8493887752388795 0  
51 0.2550000000000001  0 0 0  0 0.8495830939959189 0  
52 0.2600000000000001  0 0 0  0 0.8497461104018456 0  
53 0.2650000000000001  0 0 0  0 0.8498828988700524 0  
54 0.2700000000000001  0 0 0  0 0.8499976499642499 0  
55 0.2750000000000001  0 0 0  0 0.8500939408963858 0  
56 0.2800000000000001  0 0 0  0 0.8501747166588685 0  
57 0.2850000000000001  0 0 0  0 0.8502424999642803 0  
58 0.2900000000000001  0 0 0  0 0.8502993595457968 0  
59 0.2950000000000002  0 0 0  0 0.8503470753160326 0  
60 0.3000000000000002  0 0 0  0 0.8503870996545616 0  
61 0.3050000000000002  0 0 0  0 0.8504206891507994 0  
62 0.3100000000000002  0 0 0  0 0.8504488627280926 0  
63 0.3150000000000002  0 0 0  0 0.8504725082042928 0  
64 0.3200000000000002  0 0 0  0 0.8504923397420995 0  
65 0.3250000000000002  0 0 0  0 0.8505089852299356 0  
66 0.3300000000000002  0 0 0  0 0.8505229446175812 0  
67 0.3350000000000002  0 0 0  0 0.8505346625235355 0  
68 0.3400000000000002  0 0 0  0 0.8505444883848339 0  
69 0.3450000000000002  0 0 0  0 0.8505527375496127 0  
70 0.3500000000000002  0 0 0  0 0.8505596537487702 0  
71 0.3550000000000002  0 0 0  0 0.8505654611036486 0  
72 0.3600000000000002  0 0 0  0 0.8505703291504211 0  
73 0.3650000000000002  0 0 0  0 0.8505744175910182 0  
74 0.3700000000000002  0 0 0  0 0.8505778439233668 0  
75 0.3750000000000002  0 0 0  0 0.8505807223241649 0  
76 0.3800000000000002  0 0 0  0 0.8505831338277681 0  
77 0.3850000000000002  0 0 0  0 0.8505851604063044 0  
78 0.3900000000000002  0 0 0  0 0.8505868575750066 0  
79 0.3950000000000002  0 0 0  0 0.8505882844960122 0  
80 0.4000000000000002  0 0 0  0 0.8505894788530421 0  
81 0.4050000000000002  0 0 0  0 0.8505904836268153 0  
82 0.4100000000000003  0 0 0  0 0.8505913240666746 0  
83 0.4150000000000003  0 0 0  0 0.8505920316514343 0  
84 0.4200000000000003  0 0 0  0 0.8505926229827253 0  
85 0.4250000000000003  0 0 0  0 0.8505931213432327 0  
86 0.4300000000000003  0 0 0  0 0.8505935373414749 0  
87 0.4350000000000003  0 0 0  0 0.8505938884012969 0  
88 0.4400000000000003  0 0 0  0 0.8505941809971402 0  
89 0.4450000000000003  0 0 0  0 0.8505944283483408 0  
90 0.4500000000000003  0 0 0  0 0.8505946340954258 0  
91 0.4550000000000003  0 0 0  0 0.8505948084256896 0  
92 0.4600000000000003  0 0 0  0 0.8505949530535285 0  
93 0.4650000000000003  0 0 0  0 0.8505950759665231 0  
94 0.4700000000000003  0 0 0  0 0.8505951775853842 0  
95 0.4750000000000003  0 0 0  0 0.8505952642900694 0  
96 0.4800000000000003  0 0 0  0 0.8505953356469654 0  
97 0.4850000000000003  0 0 0  0 0.8505953968506983 0  
98 0.4900000000000003  0 0 0  0 0.850595446917443 0  
99 0.4950000000000003  0 0 0  0 0.8505954901586108 0  
100 0.5000000000000003  0 0 0  0 0.8151301170652677 0  
101 0.5050000000000003  0 0 0  0 0.7521429787854873 0  
102 0.5100000000000003  0 0 0  0 0.7009963562876288 0  
103 0.5150000000000003  0 0 0  0 0.657835159569355 0  
104 0.5200000000000004  0 0 0  0 0.621668727489844 0  
105 0.5250000000000004  0 0 0  0 0.591222723773729 0  
106 0.5300000000000004  0 0 0  0 0.5656889880986403 0  
107 0.5350000000000004  0 0 0  0 0.5442265365394779 0  
108 0.5400000000000004  0 0 0  0 0.5262239909848311 0  
109 0.5450000000000004  0 0 0  0 0.5110996636874467 0  
110 0.5500000000000004  0 0 0  0 0.498412814267378 0  
111 0.5550000000000004  0 0 0  0 0.4877564316326726 0  
112 0.5600000000000004  0 0 0  0 0.478817368554979 0  
113 0.5650000000000004  0 0 0  0 0.4713096068451172 0  
