0 0  0 0 0  0 0 0  
1 0.005  0 0 0  3.87544960211636e-07 0.004418851100998478 0  
2 0.01  0 0 0  1.458643605950841e-06 0.01656010795857372 0  
3 0.015  0 0 0  3.074317971453466e-06 0.03479627441602282 0  
4 0.02  0 0 0  5.140396696780292e-06 0.05808106186192267 0  
5 0.025  0 0 0  7.577043531589722e-06 0.08551790842529298 0  
6 0.03  0 0 0  1.032040462298212e-05 0.1163933982149682 0  
7 0.035  0 0 0  1.331679429235344e-05 0.1501043795409479 0  
8 0.04  0 0 0  1.652242540677029e-05 0.1861610744856251 0  
9 0.045  0 0 0  1.990076627925164e-05 0.2241532970933093 0  
10 0.05  0 0 0  2.342189002021988e-05 0.2637461329518603 0  
11 0.05499999999999999  0 0 0  2.706088564263798e-05 0.3046599750103612 0  
12 0.05999999999999999  0 0 0  3.079732060523588e-05 0.3466661034917393 0  
13 0.06499999999999999  0 0 0  3.461419823128087e-05 0.3895737741023218 0  
14 0.06999999999999999  0 0 0  3.849757308407864e-05 0.4332268686128558 0  
15 0.075  0 0 0  4.243584570606806e-05 0.4774952174424508 0  
16 0.08  0 0 0  4.641949987344018e-05 0.5222722880884498 0  
17 0.08500000000000001  0 0 0  5.044061828823887e-05 0.5674692281206483 0  
18 0.09000000000000001  0 0 0  5.449270809948503e-05 0.6130133571700159 0  
19 0.09500000000000001  0 0 0  5.857036453998932e-05 0.6588440130415326 0  
20 0.1  0 0 0  6.266915822694674e-05 0.7049116208425056 0  
21 0.105  0 0 0  6.639785405992971e-05 0.7467559047697667 0  
22 0.11  0 0 0  6.945742211389438e-05 0.7810395031486516 0  
23 0.115  0 0 0  7.19843204396442e-05 0.8093616173319302 0  
24 0.12  0 0 0  7.4070660100789e-05 0.8327454879096764 0  
25 0.125  0 0 0  7.579455617978681e-05 0.8520683444937158 0  
26 0.13  0 0 0  7.721845786651249e-05 0.868027895243063 0  
27 0.135  0 0 0  7.839487491434483e-05 0.8812140782899643 0  
28 0.14  0 0 0  7.936663709029457e-05 0.8921059710037856 0  
29 0.145  0 0 0  8.016947239330996e-05 0.9011047236153756 0  
30 0.15  0 0 0  8.083265547420559e-05 0.9085379650963894 0  
31 0.1550000000000001  0 0 0  8.138054778872306e-05 0.9146791198754244 0  
32 0.1600000000000001  0 0 0  8.183313775544931e-05 0.9197519510896992 0  
33 0.1650000000000001  0 0 0  8.22070460810842e-05 0.9239429692399568 0  
34 0.1700000000000001  0 0 0  8.251591600316743e-05 0.9274049235780284 0  
35 0.1750000000000001  0 0 0  8.277108955356827e-05 0.9302650813940623 0  
36 0.1800000000000001  0 0 0  8.298187752109332e-05 0.9326276882850174 0  
37 0.1850000000000001  0 0 0  8.31560207651405e-05 0.934579604408867 0  
38 0.1900000000000001  0 0 0  8.329987265731642e-05 0.9361919604391761 0  
39 0.1950000000000001  0 0 0  8.341871687056468e-05 0.937524048508213 0  
40 0.2000000000000001  0 0 0  8.351688824947967e-05 0.9386243958298285 0  
41 0.2050000000000001  0 0 0  8.359799367796406e-05 0.9395334826914417 0  
42 0.2100000000000001  0 0 0  8.366499042267161e-05 0.9402844100783838 0  
43 0.2150000000000001  0 0 0  8.372034102421821e-05 0.9409048197579419 0  
44 0.2200000000000001  0 0 0  8.376606267723741e-05 0.941417286035009 0  
45 0.2250000000000001  0 0 0  8.380383688944004e-05 0.9418406877685295 0  
46 0.2300000000000001  0 0 0  8.383503939202175e-05 0.9421904167821689 0  
47 0.2350000000000001  0 0 0  8.386081858346994e-05 0.9424793701668599 0  
48 0.2400000000000001  0 0 0  8.388211252363664e-05 0.9427180396086252 0  
49 0.2450000000000001  0 0 0  8.389970569611105e-05 0.9429152384263315 0  
50 0.2500000000000001  0 0 0  8.391423756626271e-05 0.9430781156774202 0  
51 0.2550000000000001  0 0 0  8.392624417408179e-05 0.9432126963108324 0  
52 0.2600000000000001  0 0 0  8.393616129287462e-05 0.9433238495371907 0  
53 0.2650000000000001  0 0 0  8.394435533443101e-05 0.9434156961332592 0  
54 0.2700000000000001  0 0 0  8.395112313630548e-05 0.94349155060228 0  
55 0.2750000000000001  0 0 0  8.395671527738902e-05 0.943554233123379 0  
56 0.2800000000000001  0 0 0  8.396133384547255e-05 0.9436059982134889 0  
57 0.2850000000000001  0 0 0  8.396515030617557e-05 0.9436487775068009 0  
58 0.2900000000000001  0 0 0  8.396830214452145e-05 0.9436841030198558 0  
59 0.2950000000000002  0 0 0  8.397090678102792e-05 0.9437132991752691 0  
60 0.3000000000000002  0 0 0  8.397305766172369e-05 0.9437374056862876 0  
61 0.3050000000000002  0 0 0  8.397483527844418e-05 0.9437573318714896 0  
62 0.3100000000000002  0 0 0  8.397630306689052e-05 0.9437737821348376 0  
63 0.3150000000000002  0 0 0  8.397751627520211e-05 0.9437873818909626 0  
64 0.3200000000000002  0 0 0  8.397851789565536e-05 0.9437986072857343 0  
65 0.3250000000000002  0 0 0  8.397934591564127e-05 0.943807889449779 0  
66 0.3300000000000002  0 0 0  8.398002940801508e-05 0.9438155492516594 0  
67 0.3350000000000002  0 0 0  8.398059454961526e-05 0.943821884769569 0  
68 0.3400000000000002  0 0 0  8.398106094209545e-05 0.9438271113352745 0  
69 0.3450000000000002  0 0 0  8.398144667598473e-05 0.9438314358221902 0  
70 0.3500000000000002  0 0 0  8.39817649147534e-05 0.9438350019151046 0  
71 0.3550000000000002  0 0 0  8.398202820658618e-05 0.9438379538929171 0  
72 0.3600000000000002  0 0 0  8.398224534278409e-05 0.9438403868739964 0  
73 0.3650000000000002  0 0 0  8.398242506935105e-05 0.9438424021117535 0  
74 0.3700000000000002  0 0 0  8.39825732127375e-05 0.9438440618687702 0  
75 0.3750000000000002  0 0 0  8.398269590659257e-05 0.9438454377655346 0  
76 0.3800000000000002  0 0 0  8.398279696919531e-05 0.9438465698956396 0  
77 0.3850000000000002  0 0 0  8.398288073707683e-05 0.9438475094186943 0  
78 0.3900000000000002  0 0 0  8.3982949673711e-05 0.9438482815225706 0  
79 0.3950000000000002  0 0 0  8.398300687306737e-05 0.9438489231932971 0  
80 0.4000000000000002  0 0 0  8.398305388812588e-05 0.9438494496439217 0  
81 0.4050000000000002  0 0 0  8.39830929533214e-05 0.9438498880017292 0  
82 0.4100000000000003  0 0 0  8.398312501034511e-05 0.9438502468477029 0  
83 0.4150000000000003  0 0 0  8.398315169733106e-05 0.9438505464158061 0  
84 0.4200000000000003  0 0 0  8.398317354896268e-05 0.943850790916815 0  
85 0.4250000000000003  0 0 0  8.398319178604119e-05 0.9438509957332475 0  
86 0.4300000000000003  0 0 0  8.398320667513115e-05 0.9438511622324215 0  
87 0.4350000000000003  0 0 0  8.398321914360185e-05 0.9438513023545915 0  
88 0.4400000000000003  0 0 0  8.398322928293567e-05 0.9438514156508351 0  
89 0.4450000000000003  0 0 0  8.398323781277917e-05 0.9438515115946128 0  
90 0.4500000000000003  0 0 0  8.398324471281526e-05 0.943851588608924 0  
