t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.1,1,2.367710557e-15,0.000000,10705.662883,0.025000,-10725.556289,-0.073660,293.0303715
0.2,1,2.021495534e-15,0.000000,23540.338310,0.050000,-23579.435352,-0.161991,293.1802456
0.3,1,2.814717319e-15,0.000000,36792.205349,0.075000,-36850.305641,-0.253196,293.5467283
0.4,1,2.85420104e-15,0.000000,50090.259496,0.100000,-50167.290621,-0.344715,294.2211453
0.5,1,7.240189466e-15,0.000000,63323.855695,0.125000,-63419.758971,-0.435781,295.2870657
0.6,1,1.312091687e-14,0.000000,76426.201136,0.150000,-76540.908829,-0.525930,296.819646
0.7,1,5.504822594e-15,0.000000,89332.619919,0.175000,-89466.051326,-0.614711,298.8850031
0.8,1,9.801302401e-15,0.000000,101974.571631,0.200000,-102126.632208,-0.701648,301.5395824
0.9,1,9.896664386e-15,0.000000,114281.200244,0.225000,-114451.780384,-0.786247,304.8295925
1,1,4.751667571e-15,0.000000,126182.547960,0.250000,-126371.520706,-0.868023,308.7905836
1.1,1,9.954200508e-15,0.000000,127307.293693,0.250000,-127495.064103,-0.875655,312.6715327
1.2,1,1.800940845e-14,0.000000,126423.894902,0.250000,-126611.307354,-0.869472,316.2775031
1.3,1,7.170909692e-15,0.000000,125267.094964,0.250000,-125454.397674,-0.861426,319.5762208
1.4,1,4.96924946e-15,0.000000,124168.766862,0.250000,-124356.011986,-0.853798,322.5771966
1.5,1,6.904401078e-15,0.000000,123179.732270,0.250000,-123366.922965,-0.846934,325.3012422
1.6,1,6.296246522e-15,0.000000,122297.146773,0.250000,-122484.276497,-0.840811,327.7717104
1.7,1,1.106756304e-14,0.000000,121509.666821,0.250000,-121696.729603,-0.835351,330.0115506
1.8,1,1.002787084e-14,0.000000,120805.970919,0.250000,-120992.963476,-0.830472,332.0422617
1.9,1,1.502307403e-14,0.000000,120176.093284,0.250000,-120363.014853,-0.826107,333.8835705
2,1,1.54403263e-14,0.000000,119611.428966,0.250000,-119798.280658,-0.822194,335.5534067
2.1,1,1.899525964e-14,0.000000,119104.541418,0.250000,-119291.325597,-0.818682,337.0679986
2.2,1,9.797065843e-15,0.000000,118648.975117,0.250000,-118835.694926,-0.815526,338.4420094
2.3,1,2.142985872e-14,0.000000,118239.100314,0.250000,-118425.759338,-0.812686,339.6886823
2.4,1,6.770353716e-15,0.000000,117869.987067,0.250000,-118056.589108,-0.810130,340.8199799
2.5,1,2.274172331e-14,0.000000,117537.302500,0.250000,-117723.851420,-0.807825,341.8467117
2.6,1,1.240368123e-14,0.000000,117237.226209,0.250000,-117423.725833,-0.805747,342.7786504
2.7,1,2.635264015e-14,0.000000,116966.379995,0.250000,-117152.834040,-0.803871,343.6246351
2.8,1,1.249371742e-14,0.000000,116721.769022,0.250000,-116908.181056,-0.802177,344.3926644
2.9,1,1.391505011e-14,0.000000,116500.732210,0.250000,-116687.105626,-0.800646,345.0899797
3,1,1.032551346e-14,0.000000,116300.900150,0.250000,-116487.238149,-0.799263,345.7231386
3.1,1,1.024146737e-14,0.000000,116120.159204,0.250000,-116306.464788,-0.798011,346.2980823
3.2,1,6.573528593e-15,0.000000,115956.620721,0.250000,-116142.896695,-0.796879,346.8201948
3.3,1,1.162970142e-14,0.000000,115808.594525,0.250000,-115994.843494,-0.795854,347.2943563
3.4,1,9.211967183e-15,0.000000,115674.565978,0.250000,-115860.790355,-0.794926,347.7249918
3.5,1,5.021105887e-15,0.000000,115553.176057,0.250000,-115739.378071,-0.794085,348.1161141
3.6,1,8.176790813e-15,0.000000,115443.203994,0.250000,-115629.385699,-0.793323,348.4713631
3.7,1,4.022794144e-15,0.000000,115343.552091,0.250000,-115529.715373,-0.792633,348.7940408
3.8,1,1.123951678e-14,0.000000,115253.232400,0.250000,-115439.378989,-0.792008,349.0871432
3.9,1,1.56366783e-14,0.000000,115171.355002,0.250000,-115357.486481,-0.791441,349.3533893
4,1,8.269994699e-15,0.000000,115097.117669,0.250000,-115283.235485,-0.790927,349.5952466
4.1,1,1.875744957e-14,0.000000,115029.796727,0.250000,-115215.902200,-0.790461,349.8149547
4.2,1,4.20755211e-15,0.000000,114968.738951,0.250000,-115154.833284,-0.790038,350.0145467
4.3,1,1.29743099e-14,0.000000,114913.354376,0.250000,-115099.438663,-0.789655,350.1958684
4.4,1,1.72223587e-14,0.000000,114863.109889,0.250000,-115049.185125,-0.789307,350.3605954
4.5,1,8.370747107e-15,0.000000,114817.523533,0.250000,-115003.590620,-0.788991,350.5102493
4.6,1,5.415512431e-15,0.000000,114776.159404,0.250000,-114962.219162,-0.788705,350.6462118
4.7,1,6.223112431e-15,0.000000,114738.623106,0.250000,-114924.676276,-0.788445,350.7697373
4.8,1,5.946369127e-15,0.000000,114704.557667,0.250000,-114890.604921,-0.788209,350.8819652
4.9,1,9.293945009e-15,0.000000,114673.639889,0.250000,-114859.681835,-0.787995,350.9839303
5,1,5.245348576e-15,0.000000,114645.577066,0.250000,-114831.614254,-0.787801,351.0765723
5.1,1,1.679485362e-14,0.000000,114620.104038,0.250000,-114806.136963,-0.787624,351.1607447
5.2,1,1.207564075e-14,0.000000,114596.980542,0.250000,-114783.009651,-0.787464,351.2372226
5.3,1,1.595533557e-14,0.000000,114575.988826,0.250000,-114762.014523,-0.787319,351.3067104
5.4,1,9.487541938e-15,0.000000,114556.931501,0.250000,-114742.954149,-0.787187,351.3698476
5.5,1,5.823144998e-15,0.000000,114539.629606,0.250000,-114725.649534,-0.787067,351.4272152
5.6,1,1.779839171e-14,0.000000,114523.920861,0.250000,-114709.938362,-0.786959,351.4793409
5.7,1,8.581142224e-15,0.000000,114509.658088,0.250000,-114695.673428,-0.786860,351.5267042
5.8,1,1.070798434e-14,0.000000,114496.707793,0.250000,-114682.721210,-0.786770,351.5697406
5.9,1,8.68384586e-15,0.000000,114484.948873,0.250000,-114670.960580,-0.786689,351.6088458
6,1,1.197229552e-14,0.000000,114474.271457,0.250000,-114660.281646,-0.786615,351.6443791
6.1,1,7.10434719e-15,0.000000,114464.575853,0.250000,-114650.584696,-0.786548,351.6766672
6.2,1,5.108500307e-15,0.000000,114455.771600,0.250000,-114641.779251,-0.786487,351.7060067
6.3,1,6.860397463e-15,0.000000,114447.776601,0.250000,-114633.783198,-0.786431,351.732667
6.4,1,1.112540058e-14,0.000000,114440.516347,0.250000,-114626.522013,-0.786381,351.7568931
6.5,1,1.668310625e-14,0.000000,114433.923213,0.250000,-114619.928059,-0.786335,351.7789073
6.6,1,5.872995805e-15,0.000000,114427.935815,0.250000,-114613.939939,-0.786294,351.7989118
6.7,1,7.602048453e-15,0.000000,114422.498431,0.250000,-114608.501921,-0.786256,351.8170903
6.8,1,1.030449953e-14,0.000000,114417.560478,0.250000,-114603.563412,-0.786222,351.8336094
6.9,1,1.265363384e-14,0.000000,114413.076036,0.250000,-114599.078483,-0.786191,351.8486209
7,1,8.834339605e-15,0.000000,114409.003413,0.250000,-114595.005436,-0.786163,351.8622625
7.1,1,5.881190416e-15,0.000000,114405.304758,0.250000,-114591.306413,-0.786137,351.8746592
7.2,1,1.6431947e-14,0.000000,114401.945706,0.250000,-114587.947041,-0.786114,351.8859247
7.3,1,1.125525307e-14,0.000000,114398.895052,0.250000,-114584.896111,-0.786093,351.8961625
7.4,1,8.871239174e-15,0.000000,114396.124464,0.250000,-114582.125285,-0.786074,351.9054662
7.5,1,1.695023136e-14,0.000000,114393.608215,0.250000,-114579.608832,-0.786056,351.9139212
7.6,1,1.646917544e-14,0.000000,114391.322945,0.250000,-114577.323387,-0.786040,351.9216051
7.7,1,1.075898118e-14,0.000000,114389.247440,0.250000,-114575.247735,-0.786026,351.9285881
7.8,1,3.043402845e-14,0.000000,114387.362438,0.250000,-114573.362609,-0.786013,351.9349343
7.9,1,8.408375382e-15,0.000000,114385.650446,0.250000,-114571.650513,-0.786001,351.9407017
8,1,7.448532024e-15,0.000000,114384.095579,0.250000,-114570.095560,-0.785990,351.9459433
8.1,1,2.118238425e-14,0.000000,114382.683411,0.250000,-114568.683322,-0.785981,351.950707
8.2,1,1.056292277e-14,0.000000,114381.400842,0.250000,-114567.400697,-0.785972,351.9550365
8.3,1,1.480189135e-14,0.000000,114380.235975,0.250000,-114566.235785,-0.785964,351.9589713
8.4,1,1.621928211e-14,0.000000,114379.178006,0.250000,-114565.177782,-0.785956,351.9625474
8.5,1,4.370383839e-15,0.000000,114378.217122,0.250000,-114564.216873,-0.785950,351.9657977
8.6,1,6.139267318e-15,0.000000,114377.344413,0.250000,-114563.344147,-0.785944,351.9687517
8.7,1,1.650579797e-14,0.000000,114376.551786,0.250000,-114562.551509,-0.785938,351.9714366
8.8,1,1.137218303e-14,0.000000,114375.831891,0.250000,-114561.831609,-0.785933,351.9738769
8.9,1,8.627105909e-15,0.000000,114375.178053,0.250000,-114561.177770,-0.785929,351.9760948
9,1,7.860637937e-15,0.000000,114374.584209,0.250000,-114560.583930,-0.785925,351.9781108
9.1,1,6.767869101e-15,0.000000,114374.044855,0.250000,-114560.044583,-0.785921,351.9799431
9.2,1,1.694665519e-14,0.000000,114373.554989,0.250000,-114559.554727,-0.785917,351.9816085
9.3,1,3.729237696e-15,0.000000,114373.110071,0.250000,-114559.109821,-0.785914,351.9831223
9.4,1,9.481453285e-15,0.000000,114372.705975,0.250000,-114558.705740,-0.785912,351.9844983
9.5,1,9.569868101e-15,0.000000,114372.338957,0.250000,-114558.338736,-0.785909,351.985749
9.6,1,1.034126853e-14,0.000000,114372.005612,0.250000,-114558.005409,-0.785907,351.9868859
9.7,1,7.991470794e-15,0.000000,114371.702853,0.250000,-114557.702667,-0.785905,351.9879193
9.8,1,4.239585925e-15,0.000000,114371.427871,0.250000,-114557.427703,-0.785903,351.9888586
9.9,1,1.199339238e-14,0.000000,114371.178119,0.250000,-114557.177970,-0.785901,351.9897125
10,1,7.656749076e-15,0.000000,114370.951282,0.250000,-114556.951151,-0.785899,351.9904887
10.1,1,2.985706472e-16,0.000000,20068.421181,0.000000,-20066.868887,-0.138045,347.961204
10.2,1,5.057347946e-17,0.000000,3605.491480,0.000000,-3604.914292,-0.024801,343.866191
10.3,1,1.57061263e-17,0.000000,654.429734,0.000000,-654.310636,-0.004502,339.9559496
10.4,1,1.837411602e-18,0.000000,119.798926,0.000000,-119.775092,-0.000824,336.286487
10.5,1,2.539360185e-19,0.000000,22.101309,0.000000,-22.096551,-0.000152,332.8745486
10.6,1,9.163460827e-20,0.000000,4.106846,0.000000,-4.105898,-0.000028,329.7175646
10.7,1,1.694727131e-20,0.000000,0.768240,0.000000,-0.768052,-0.000005,326.8039065
10.8,1,2.639580637e-21,0.000000,0.144601,0.000000,-0.144564,-0.000001,324.11832
10.9,1,4.040153717e-22,0.000000,0.027374,0.000000,-0.027367,-0.000000,321.6445858
11,1,6.699140743e-23,0.000000,0.005210,0.000000,-0.005208,-0.000000,319.3667483
11.1,1,1.899937633e-23,0.000000,0.000996,0.000000,-0.000996,-0.000000,317.2696427
11.2,1,3.727399402e-24,0.000000,0.000191,0.000000,-0.000191,-0.000000,315.3390895
11.3,1,5.943844103e-25,0.000000,0.000037,0.000000,-0.000037,-0.000000,313.5619362
11.4,1,8.576171773e-26,0.000000,0.000007,0.000000,-0.000007,-0.000000,311.9260307
11.5,1,3.04819068e-26,0.000000,0.000001,0.000000,-0.000001,-0.000000,310.4201671
11.6,1,4.094936076e-27,0.000000,0.000000,0.000000,-0.000000,-0.000000,309.034021
11.7,1,8.467217129e-28,0.000000,0.000000,0.000000,-0.000000,-0.000000,307.7580846
11.8,1,1.692283666e-28,0.000000,0.000000,0.000000,-0.000000,-0.000000,306.583604
11.9,1,3.357464984e-29,0.000000,0.000000,0.000000,-0.000000,-0.000000,305.5025196
12,1,7.973974649e-30,0.000000,0.000000,0.000000,-0.000000,-0.000000,304.5074117
