t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.56,1,1.945574326e-14,0.000000,71092.346198,0.140000,-71199.417582,-0.489217,295.5648904
0.57,1,8.113324891e-15,0.000000,72393.470949,0.142500,-72502.416647,-0.498168,295.7074174
0.58,1,7.344472865e-15,0.000000,73692.560823,0.145000,-73803.379990,-0.507105,295.8549266
0.59,1,5.143719503e-15,0.000000,74989.548300,0.147500,-75102.240075,-0.516028,296.0074862
0.6,1,1.903289009e-14,0.000000,76284.365316,0.150000,-76398.928828,-0.524935,296.1651637
0.61,1,4.300109766e-15,0.000000,77576.943303,0.152500,-77693.377665,-0.533826,296.3280255
0.62,1,1.893904699e-14,0.000000,78867.213221,0.155000,-78985.517534,-0.542702,296.4961371
0.63,1,5.99589193e-15,0.000000,80155.105597,0.157500,-80275.278949,-0.551560,296.6695626
0.64,1,1.550806485e-14,0.000000,81440.550558,0.160000,-81562.592023,-0.560402,296.8483654
0.65,1,6.175387754e-15,0.000000,82723.477873,0.162500,-82847.386512,-0.569226,297.0326077
0.66,1,1.310103976e-14,0.000000,84003.816982,0.165000,-84129.591843,-0.578032,297.2223506
0.67,1,2.456494017e-14,0.000000,85281.497041,0.167500,-85409.137158,-0.586820,297.4176543
0.68,1,1.052023859e-14,0.000000,86556.446955,0.170000,-86685.951348,-0.595588,297.6185778
0.69,1,1.937689323e-14,0.000000,87828.595416,0.172500,-87959.963091,-0.604337,297.8251791
0.7,1,3.581271519e-14,0.000000,89097.870941,0.175000,-89231.100892,-0.613066,298.037515
0.71,1,2.944841081e-14,0.000000,90364.201910,0.177500,-90499.293114,-0.621774,298.2556412
0.72,1,2.059113303e-14,0.000000,91627.516603,0.180000,-91764.468026,-0.630462,298.4796127
0.73,1,4.090957064e-14,0.000000,92887.743240,0.182500,-93026.553832,-0.639128,298.7094828
0.74,1,1.585913929e-14,0.000000,94144.810018,0.185000,-94285.478715,-0.647771,298.9453042
0.75,1,1.841721892e-14,0.000000,95398.645148,0.187500,-95541.170871,-0.656393,299.1871283
0.76,1,4.081753386e-14,0.000000,96649.176895,0.190000,-96793.558550,-0.664991,299.4350054
0.77,1,9.573155674e-15,0.000000,97896.333614,0.192500,-98042.570093,-0.673566,299.6889846
0.78,1,8.97134554e-15,0.000000,99140.043793,0.195000,-99288.133971,-0.682116,299.9491141
0.79,1,1.92718185e-14,0.000000,100380.236082,0.197500,-100530.178820,-0.690642,300.2154409
0.8,1,5.324455329e-15,0.000000,101616.839341,0.200000,-101768.633483,-0.699144,300.4880107
0.81,1,6.462143255e-15,0.000000,102849.782671,0.202500,-103003.427045,-0.707619,300.7668683
0.82,1,9.427201687e-15,0.000000,104078.995453,0.205000,-104234.488872,-0.716069,301.0520574
0.83,1,4.571365229e-14,0.000000,105304.407388,0.207500,-105461.748647,-0.724492,301.3436202
0.84,1,5.381264475e-15,0.000000,106525.948531,0.210000,-106685.136407,-0.732888,301.6415983
0.85,1,2.721327666e-14,0.000000,107743.549328,0.212500,-107904.582584,-0.741257,301.9460318
0.86,1,2.366850376e-14,0.000000,108957.140655,0.215000,-109120.018034,-0.749598,302.2569598
0.87,1,9.364332484e-15,0.000000,110166.653853,0.217500,-110331.374081,-0.757910,302.5744201
0.88,1,6.450727139e-15,0.000000,111372.020763,0.220000,-111538.582547,-0.766194,302.8984496
0.89,1,2.690186397e-14,0.000000,112573.173764,0.222500,-112741.575792,-0.774448,303.229084
