"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
329.01,1,0.003125,0.001,0.078125,0
329.14,1,0.00315,0.001,0.07815,0
329.26,1,0.003175,0.001,0.078175,0
329.38,1,0.0032,0.001,0.0782,0
329.5,1,0.003225,0.001,0.078225,0
329.63,1,0.00325,0.001,0.07825,0
329.75,1,0.003275,0.001,0.078275,0
329.87,1,0.0033,0.001,0.0783,0
329.99,1,0.003325,0.001,0.078325,0
330.11,1,0.00335,0.001,0.07835,0
330.24,1,0.003375,0.001,0.078375,0
330.36,1,0.0034,0.001,0.0784,0
330.48,1,0.003425,0.001,0.078425,0
330.6,1,0.00345,0.001,0.07845,0
330.72,1,0.003475,0.001,0.078475,0
330.85,1,0.0035,0.001,0.0785,0
330.97,1,0.003525,0.001,0.078525,0
331.09,1,0.00355,0.001,0.07855,0
331.21,1,0.003575,0.001,0.078575,0
331.33,1,0.0036,0.001,0.0786,0
331.46,1,0.003625,0.001,0.078625,0
331.58,1,0.00365,0.001,0.07865,0
331.7,1,0.003675,0.001,0.078675,0
331.82,1,0.0037,0.001,0.0787,0
331.94,1,0.003725,0.001,0.078725,0
332.07,1,0.00375,0.001,0.07875,0
332.19,1,0.003775,0.001,0.078775,0
332.31,1,0.0038,0.001,0.0788,0
332.43,1,0.003825,0.001,0.078825,0
332.54,1,0.00385,0.001,0.07885,0
332.64,1,0.003875,0.001,0.078875,0
332.75,1,0.0039,0.001,0.0789,0
332.85,1,0.003925,0.001,0.078925,0
332.96,1,0.00395,0.001,0.07895,0
333.06,1,0.003975,0.001,0.078975,0
333.17,1,0.004,0.001,0.079,0
333.27,1,0.004025,0.001,0.079025,0
333.38,1,0.00405,0.001,0.07905,0
333.48,1,0.004075,0.001,0.079075,0
333.59,1,0.0041,0.001,0.0791,0
333.69,1,0.004125,0.001,0.079125,0
333.8,1,0.00415,0.001,0.07915,0
333.9,1,0.004175,0.001,0.079175,0
334,1,0.0042,0.001,0.0792,0
334.11,1,0.004225,0.001,0.079225,0
334.21,1,0.00425,0.001,0.07925,0
334.32,1,0.004275,0.001,0.079275,0
334.42,1,0.0043,0.001,0.0793,0
334.53,1,0.004325,0.001,0.079325,0
334.63,1,0.00435,0.001,0.07935,0
334.74,1,0.004375,0.001,0.079375,0
