t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.1,1,9.511310761e-16,0.000000,10705.662883,0.025000,-10725.556289,-0.073660,293.0301713
0.2,1,2.422235214e-15,0.000000,23542.345701,0.050000,-23581.446086,-0.162005,293.1786497
0.3,1,4.250630534e-15,0.000000,36810.563466,0.075000,-36868.687278,-0.253325,293.5402292
0.4,1,3.518076179e-15,0.000000,50166.300467,0.100000,-50243.409488,-0.345247,294.2026669
0.5,1,7.073963017e-15,0.000000,63539.790304,0.125000,-63635.876758,-0.437292,295.2454085
0.6,1,8.731637234e-15,0.000000,76916.881294,0.150000,-77031.943602,-0.529361,296.7400423
0.7,1,1.027223133e-14,0.000000,90294.702778,0.175000,-90428.740620,-0.621435,298.7509515
0.8,1,8.823591124e-15,0.000000,103672.672442,0.200000,-103825.685754,-0.713511,301.335979
0.9,1,1.963857645e-14,0.000000,117050.672165,0.225000,-117222.660933,-0.805587,304.5470636
1,1,1.556018875e-14,0.000000,130428.677985,0.250000,-130619.642206,-0.897662,308.4308309
1.1,1,1.434661452e-14,0.000000,133101.022159,0.250000,-133291.068428,-0.916078,312.2280945
1.2,1,1.648076348e-14,0.000000,133642.346649,0.250000,-133832.161391,-0.919808,315.7371354
1.3,1,1.096972242e-14,0.000000,133752.136243,0.250000,-133941.903011,-0.920565,318.923351
1.4,1,1.547331916e-14,0.000000,133774.406610,0.250000,-133964.163623,-0.920718,321.7973567
1.5,1,8.74299416e-15,0.000000,133778.924145,0.250000,-133968.679177,-0.920749,324.3825079
1.6,1,1.785257397e-14,0.000000,133779.840527,0.250000,-133969.595157,-0.920756,326.7049606
1.7,1,2.427332056e-14,0.000000,133780.026415,0.250000,-133969.780964,-0.920757,328.7902638
1.8,1,1.863055973e-14,0.000000,133780.064122,0.250000,-133969.818655,-0.920757,330.6621903
1.9,1,1.756660639e-14,0.000000,133780.071771,0.250000,-133969.826301,-0.920757,332.3424149
2,1,1.51536939e-14,0.000000,133780.073323,0.250000,-133969.827851,-0.920757,333.8505225
2.1,1,1.42449266e-14,0.000000,133780.073637,0.250000,-133969.828166,-0.920757,335.2041389
2.2,1,1.429210951e-14,0.000000,133780.073701,0.250000,-133969.828230,-0.920757,336.4190976
2.3,1,9.405227924e-15,0.000000,133780.073714,0.250000,-133969.828243,-0.920757,337.5096124
2.4,1,1.853411723e-14,0.000000,133780.073717,0.250000,-133969.828245,-0.920757,338.4884385
2.5,1,7.019794958e-15,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,339.3670219
2.6,1,1.381057002e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,340.1556333
2.7,1,1.514157479e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,340.8634898
2.8,1,1.389112541e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,341.4988628
2.9,1,1.755261188e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,342.0691756
3,1,1.01301443e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,342.5810907
3.1,1,1.993692643e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,343.0405878
3.2,1,1.447164111e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,343.453034
3.3,1,1.431756328e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,343.8232467
3.4,1,1.936657452e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,344.1555499
3.5,1,1.455017452e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,344.453825
3.6,1,1.526510306e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,344.7215559
3.7,1,1.918601923e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,344.9618697
3.8,1,1.304712872e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.1775736
3.9,1,1.350137297e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.3711871
4,1,2.01561892e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.5449722
4.1,1,1.415225516e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.7009589
4.2,1,1.422761847e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.8409697
4.3,1,1.835202922e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,345.9666405
4.4,1,1.165673251e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,346.0794396
